City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Poronaysk,RU,2023-01-25 00:49:49,49.2167,143.1167,-8.21,79,100,12.59
111,Hithadhoo,MV,2023-01-25 00:49:49,-0.6,73.0833,81.12,74,100,12.37
112,Tasiilaq,GL,2023-01-25 00:46:51,65.6145,-37.6368,19.56,62,7,7.94
113,Auki,SB,2023-01-25 00:49:50,-8.7676,160.7034,85.28,65,100,2.1
114,Zhezkazgan,KZ,2023-01-25 00:49:50,47.8043,67.7144,-7.62,77,58,4.47
115,Yellowknife,CA,2023-01-25 00:45:16,62.456,-114.3525,7.32,78,75,3.44
116,Ruteng,ID,2023-01-25 00:49:51,-8.6136,120.4721,71.69,65,100,0.87
117,Yuncheng,CN,2023-01-25 00:49:51,35.0231,110.9928,19.11,18,100,3.33
118,Finschhafen,PG,2023-01-25 00:49:51,-6.6024,147.8681,85.39,68,100,6.87
119,Hualmay,PE,2023-01-25 00:49:51,-11.0964,-77.6139,71.11,82,95,8.41
120,The Valley,AI,2023-01-25 00:49:52,18.217,-63.0578,77.14,69,20,8.05
121,Flinders,AU,2023-01-25 00:49:52,-34.5833,150.8552,82.06,71,4,5.01
122,Teknaf,BD,2023-01-25 00:49:52,20.8624,92.3058,64.02,57,42,3.6
123,Goderich,CA,2023-01-25 00:49:53,43.7501,-81.7165,35.91,74,100,3.44
124,Portland,US,2023-01-25 00:48:52,45.5234,-122.6762,49.6,77,75,3.44
125,Bahia Honda,CU,2023-01-25 00:49:54,22.9036,-83.1592,73.4,76,0,6.22
126,Tiksi,RU,2023-01-25 00:49:54,71.6872,128.8694,-33.59,99,53,7.36
127,Lata,PT,2023-01-25 00:49:54,40.1629,-8.3327,42.08,82,0,4.88
128,Shaoyang,CN,2023-01-25 00:49:55,27.2315,111.4525,33.78,32,21,4.27
129,Kiri Buru,IN,2023-01-25 00:49:55,22.0833,85.35,58.84,46,34,1.41
130,Qostanay,KZ,2023-01-25 00:49:55,53.1667,63.5833,-0.11,85,0,8.95
131,Pangnirtung,CA,2023-01-25 00:49:55,66.1451,-65.7125,-3.1,98,100,1.43
132,Rio Pardo,BR,2023-01-25 00:46:49,-29.9897,-52.3781,75.07,76,0,10.04
133,Santa Ines,BR,2023-01-25 00:49:56,-3.6667,-45.38,73.0,98,97,3.85
134,Male,MV,2023-01-25 00:49:56,4.1748,73.5089,78.75,89,75,11.5
135,Hit,IQ,2023-01-25 00:49:57,33.6416,42.8251,49.86,44,0,7.63
136,Jardim,BR,2023-01-25 00:47:54,-21.4803,-56.1381,77.4,77,44,4.38
