City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Hasaki,JP,35.7333,140.8333,46.29,26,100,4.68,overcast clouds
217,Alofi,NU,-19.0595,-169.9187,78.69,89,100,3.44,light rain
218,Balabac,PH,7.9868,117.0645,80.49,84,100,18.34,overcast clouds
219,Yara,CU,20.2753,-76.9533,67.17,87,84,6.06,broken clouds
220,Gizo,SB,-8.103,156.8419,83.61,72,56,2.64,light rain
221,Kaeo,NZ,-35.1,173.7833,72.32,91,100,4.85,overcast clouds
222,Sorong,ID,-0.8833,131.25,79.5,81,100,5.41,overcast clouds
223,Airai,TL,-8.9266,125.4092,68.11,85,100,1.21,overcast clouds
224,Praia,CV,14.9215,-23.5087,72.14,64,0,21.85,clear sky
225,Beira,MZ,-19.8436,34.8389,87.89,48,40,11.5,scattered clouds
226,Kupang,ID,-10.1667,123.5833,84.78,79,40,6.91,thunderstorm
227,Chiredzi,ZW,-21.05,31.6667,82.98,49,4,2.84,clear sky
228,Marsh Harbour,BS,26.5412,-77.0636,70.86,73,83,14.61,broken clouds
229,Feldkirchen An Der Donau,AT,48.3452,14.0513,31.78,86,75,4.61,broken clouds
230,Bandarbeyla,SO,9.4942,50.8122,78.49,61,18,18.19,few clouds
231,Belize,BZ,17.25,-88.75,68.32,98,87,0.29,overcast clouds
232,Gat,IL,31.61,34.7642,73.78,35,100,11.12,overcast clouds
233,Micheweni,TZ,-4.9667,39.8333,82.18,67,5,11.86,clear sky
234,Kudahuvadhoo,MV,2.6708,72.8944,79.7,79,47,6.31,scattered clouds
235,Allapalli,IN,19.4167,80.0667,93.87,15,0,2.01,clear sky
236,Bad Liebenwerda,DE,51.5167,13.4,31.82,85,9,3.89,clear sky
237,Hurghada,EG,27.2574,33.8129,74.17,43,6,12.5,clear sky
238,Mount Gambier,AU,-37.8333,140.7667,65.28,78,100,6.6,moderate rain
239,Chaltyr,RU,47.2848,39.4823,30.38,79,100,16.62,overcast clouds
240,Port Hedland,AU,-20.3167,118.5667,91.45,62,6,16.11,clear sky
241,Torbay,CA,47.6666,-52.7314,29.57,72,40,20.71,heavy snow
242,Fengrun,CN,39.8333,118.1167,35.29,17,0,14.76,clear sky
243,Touros,BR,-5.1989,-35.4608,78.78,76,0,11.65,clear sky
244,Sept-Iles,CA,50.2001,-66.3821,3.2,84,20,8.05,few clouds
245,Tiznit,MA,29.5833,-9.5,43.32,73,0,3.96,clear sky
246,Katsuura,JP,35.1333,140.3,41.61,51,100,7.4,overcast clouds
247,Eskisehir,TR,39.7767,30.5206,37.31,100,75,6.91,light rain
248,Zyryanka,RU,65.75,150.85,-34.83,99,46,6.17,scattered clouds
249,Camacha,PT,33.0833,-16.3333,54.82,72,75,16.11,light rain
250,Velventos,GR,40.2517,22.0631,36.48,75,20,4.61,few clouds
251,Atar,MR,20.5169,-13.0499,53.92,22,70,9.1,broken clouds
252,Verkhnevilyuysk,RU,63.4453,120.3167,-36.4,98,20,4.43,few clouds
253,Adolfo Lopez Mateos,MX,28.4667,-107.3,36.55,36,65,4.63,broken clouds
254,Tacuarembo,UY,-31.7333,-55.9833,73.45,58,99,10.0,overcast clouds
255,Hualmay,PE,-11.0964,-77.6139,70.27,85,100,6.91,overcast clouds
256,Aswan,EG,24.0934,32.907,72.91,32,5,7.81,clear sky
257,Slave Lake,CA,55.2834,-114.769,3.18,72,100,12.66,light snow
258,Saryozek,KZ,44.3583,77.9753,28.35,66,0,1.48,clear sky
259,Rundu,NA,-17.9333,19.7667,75.51,64,79,4.12,broken clouds
260,Port-Gentil,GA,-0.7193,8.7815,76.96,94,40,5.75,scattered clouds
261,Comalcalco,MX,18.2667,-93.2167,70.95,95,22,4.36,light rain
262,Norman Wells,CA,65.282,-126.8329,-14.76,76,20,5.75,few clouds
263,Phan Thiet,VN,10.9333,108.1,85.78,48,100,18.77,overcast clouds
264,Kaitangata,NZ,-46.2817,169.8464,62.2,67,2,12.55,clear sky
265,Leningradskiy,RU,69.3833,178.4167,-11.13,93,100,8.55,overcast clouds
266,Cabra,ES,37.4725,-4.4421,31.28,72,0,7.61,clear sky
267,Mount Isa,AU,-20.7333,139.5,96.57,30,100,8.05,overcast clouds
268,Taoudenni,ML,22.6783,-3.9836,50.14,19,100,2.86,overcast clouds
269,Pontes E Lacerda,BR,-15.2261,-59.3353,71.62,98,100,2.44,overcast clouds
270,Payson,US,40.0444,-111.7321,35.04,81,100,3.44,overcast clouds
271,Aloleng,PH,16.1307,119.7824,80.71,63,90,15.48,overcast clouds
272,Oga,IT,46.4631,10.347,20.8,91,61,3.98,broken clouds
273,Mingaora,PK,34.7758,72.3625,57.83,36,100,2.75,overcast clouds
274,Oranjemund,NA,-28.55,16.4333,65.93,84,96,16.37,overcast clouds
275,Hailar,CN,49.2,119.7,6.04,95,100,4.59,light snow
276,Thinadhoo,MV,0.5333,72.9333,80.96,76,18,6.51,few clouds
277,Lafia,NG,8.4833,8.5167,80.28,48,8,4.0,clear sky
278,Tezu,IN,27.9167,96.1667,82.38,26,1,4.25,clear sky
279,Tarakan,ID,3.3,117.6333,87.3,70,40,5.75,scattered clouds
280,Bengkulu,ID,-3.8004,102.2655,84.24,71,29,19.15,scattered clouds
281,Pimentel,PE,-6.8367,-79.9342,70.09,83,0,9.22,clear sky
282,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,33.38,heavy snow
283,Osmanabad,IN,18.1667,76.05,84.16,17,2,8.61,clear sky
284,Mahon,ES,39.8885,4.2658,46.96,71,40,18.41,scattered clouds
285,Teeli,RU,51.0333,90.2333,9.12,85,100,1.07,overcast clouds
286,Fort Nelson,CA,58.8053,-122.7002,-0.81,85,40,5.75,scattered clouds
287,Svetlaya,RU,46.5389,138.3297,4.96,59,100,8.75,overcast clouds
288,Lensk,RU,60.7253,114.9278,-0.54,95,100,2.84,overcast clouds
289,Palmer,US,42.1584,-72.3287,31.24,87,0,5.75,clear sky
290,Kodiak,US,57.79,-152.4072,36.91,100,100,0.0,mist
291,Susangerd,IR,31.5608,48.1831,59.02,36,0,12.15,clear sky
292,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,78,100,14.97,overcast clouds
293,Concepcion,CL,-36.827,-73.0498,55.2,76,0,6.91,clear sky
294,Silale,LT,55.4906,22.1814,23.63,91,24,1.68,few clouds
295,Chumikan,RU,54.7183,135.315,-14.3,84,34,17.72,scattered clouds
296,Itupeva,BR,-23.1531,-47.0578,69.53,83,0,6.91,clear sky
297,Muros,ES,42.7762,-9.0603,39.16,77,7,12.55,clear sky
298,North Battleford,CA,52.7834,-108.2847,-2.11,84,100,6.91,overcast clouds
299,Andenes,NO,69.3143,16.1194,35.58,69,75,20.71,broken clouds
300,Beruwala,LK,6.4788,79.9828,81.43,68,33,9.28,scattered clouds
301,Komsomolskiy,UZ,40.4272,71.7189,36.32,51,81,2.3,haze
302,Lanigan,CA,51.8501,-105.0344,-7.71,99,62,7.27,broken clouds
303,Muroto,JP,33.2833,134.15,45.57,48,19,17.13,few clouds
304,Warri,NG,5.5167,5.75,80.62,79,39,4.81,scattered clouds
305,San Luis,AR,-33.295,-66.3356,66.81,83,14,6.69,few clouds
306,San Francisco,US,37.7749,-122.4194,51.66,89,20,8.05,few clouds
307,Woodward,US,36.4337,-99.3904,41.92,63,0,20.71,clear sky
308,Waingapu,ID,-9.6567,120.2641,86.25,69,100,12.93,overcast clouds
309,Floro,NO,61.5996,5.0328,39.16,87,75,6.91,broken clouds
310,Paso De Carrasco,UY,-34.8603,-56.0522,75.94,94,100,0.0,light rain
311,Saint-Pierre,RE,-21.3393,55.4781,85.68,70,0,12.66,light rain
312,Lufilufi,WS,-13.8745,-171.5986,78.58,73,19,13.0,light rain
313,Oshnaviyeh,IR,37.0397,45.0983,34.79,51,100,5.7,overcast clouds
314,Dire Dawa,ET,9.5931,41.8661,74.52,39,68,5.1,broken clouds
315,Yerbogachen,RU,61.2767,108.0108,-5.24,95,100,3.91,overcast clouds
316,Beterou,BJ,9.1992,2.2586,80.08,72,100,3.8,overcast clouds
317,La Ronge,CA,55.1001,-105.2842,-9.15,70,20,10.36,few clouds
318,Frankfort,ZA,-27.2667,28.4833,76.87,39,0,4.16,clear sky
319,Flin Flon,CA,54.7682,-101.865,-16.65,95,36,7.38,scattered clouds
320,Lamu,KE,-2.2717,40.902,82.62,68,0,12.33,clear sky
321,Gavirate,IT,45.8401,8.7198,33.22,86,7,3.98,clear sky
322,Yulara,AU,-25.2406,130.9889,78.78,61,100,11.27,overcast clouds
323,Fuyu,CN,45.1833,124.8167,7.43,47,18,5.32,few clouds
324,Camargo,MX,27.6667,-105.1667,47.75,46,100,7.58,overcast clouds
